Randomizer Version: 4.6.0
Random Seed: 8190105131538
Settings String: 321YQgEATL8AP8AAgEEAAIeAxgIFAAAFAA+AQABEgAAAAAABAAYMtkyAQAICTIGBAAyAAUAC0VtZXJhbGQgKFUp/oaDOOPDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR    |GRASS/POISON     |  45|  49|  49|  65|  65|  45|OVERGROW    |-------     |WHITE HERB (100%)
  2|IVYSAUR      |GRASS/POISON     |  60|  62|  63|  80|  80|  60|OVERGROW    |-------     |HARD STONE (common), ASPEAR BERRY (rare)
  3|VENUSAUR     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|OVERGROW    |-------     |TM32 (rare)
  4|CHARMANDER   |FIRE             |  39|  52|  43|  60|  50|  65|BLAZE       |-------     |IRON (common)
  5|CHARMELEON   |FIRE             |  58|  64|  58|  80|  65|  80|BLAZE       |-------     |LEMONADE (common)
  6|CHARIZARD    |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|BLAZE       |-------     |
  7|SQUIRTLE     |WATER            |  44|  48|  65|  50|  64|  43|TORRENT     |-------     |
  8|WARTORTLE    |WATER            |  59|  63|  80|  65|  80|  58|TORRENT     |-------     |
  9|BLASTOISE    |WATER            |  79|  83| 100|  85| 105|  78|TORRENT     |-------     |
 10|CATERPIE     |BUG              |  45|  30|  35|  20|  20|  45|SHIELD DUST |-------     |
 11|METAPOD      |BUG              |  50|  20|  55|  25|  25|  30|SHED SKIN   |-------     |CARBOS (100%)
 12|BUTTERFREE   |BUG/FLYING       |  60|  45|  50|  80|  80|  70|COMPOUNDEYES|-------     |ELIXIR (rare)
 13|WEEDLE       |BUG/POISON       |  40|  35|  30|  20|  20|  50|SHIELD DUST |-------     |SOFT SAND (common)
 14|KAKUNA       |BUG/POISON       |  45|  25|  50|  25|  25|  35|SHED SKIN   |-------     |CHARCOAL (common), TM18 (rare)
 15|BEEDRILL     |BUG/POISON       |  65|  80|  40|  45|  80|  75|SWARM       |-------     |
 16|PIDGEY       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|KEEN EYE    |-------     |
 17|PIDGEOTTO    |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|KEEN EYE    |-------     |
 18|PIDGEOT      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|KEEN EYE    |-------     |MYSTIC WATER (rare)
 19|RATTATA      |NORMAL           |  30|  56|  35|  25|  35|  72|RUN AWAY    |GUTS        |
 20|RATICATE     |NORMAL           |  55|  81|  60|  50|  70|  97|RUN AWAY    |GUTS        |X ATTACK (common)
 21|SPEAROW      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|KEEN EYE    |-------     |
 22|FEAROW       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|KEEN EYE    |-------     |
 23|EKANS        |POISON           |  35|  60|  44|  40|  54|  55|INTIMIDATE  |SHED SKIN   |PP MAX (common), PERSIM BERRY (rare)
 24|ARBOK        |POISON           |  60|  85|  69|  65|  79|  80|INTIMIDATE  |SHED SKIN   |
 25|PIKACHU      |ELECTRIC         |  35|  55|  30|  50|  40|  90|STATIC      |-------     |
 26|RAICHU       |ELECTRIC         |  60|  90|  55|  90|  80| 100|STATIC      |-------     |
 27|SANDSHREW    |GROUND           |  50|  75|  85|  20|  30|  40|SAND VEIL   |-------     |LEFTOVERS (100%)
 28|SANDSLASH    |GROUND           |  75| 100| 110|  45|  55|  65|SAND VEIL   |-------     |
 29|NIDORAN♀     |POISON           |  55|  47|  52|  40|  40|  41|POISON POINT|-------     |TM06 (common), MAX REVIVE (rare)
 30|NIDORINA     |POISON           |  70|  62|  67|  55|  55|  56|POISON POINT|-------     |REPEL (rare)
 31|NIDOQUEEN    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|POISON POINT|-------     |FOCUS BAND (common), KING’S ROCK (rare)
 32|NIDORAN♂     |POISON           |  46|  57|  40|  40|  40|  50|POISON POINT|-------     |ANTIDOTE (common), WHITE HERB (rare)
 33|NIDORINO     |POISON           |  61|  72|  57|  55|  55|  65|POISON POINT|-------     |
 34|NIDOKING     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|POISON POINT|-------     |SAFARI BALL (100%)
 35|CLEFAIRY     |NORMAL           |  70|  45|  48|  60|  65|  35|CUTE CHARM  |-------     |RED FLUTE (common)
 36|CLEFABLE     |NORMAL           |  95|  70|  73|  85|  90|  60|CUTE CHARM  |-------     |
 37|VULPIX       |FIRE             |  38|  41|  40|  50|  65|  65|FLASH FIRE  |-------     |RAWST BERRY (common), ICE HEAL (rare)
 38|NINETALES    |FIRE             |  73|  76|  75|  81| 100| 100|FLASH FIRE  |-------     |MOON STONE (100%)
 39|JIGGLYPUFF   |NORMAL           | 115|  45|  20|  45|  25|  20|CUTE CHARM  |-------     |TM25 (rare)
 40|WIGGLYTUFF   |NORMAL           | 140|  70|  45|  75|  50|  45|CUTE CHARM  |-------     |HARD STONE (common)
 41|ZUBAT        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|INNER FOCUS |-------     |
 42|GOLBAT       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|INNER FOCUS |-------     |
 43|ODDISH       |GRASS/POISON     |  45|  50|  55|  75|  65|  30|CHLOROPHYLL |-------     |
 44|GLOOM        |GRASS/POISON     |  60|  65|  70|  85|  75|  40|CHLOROPHYLL |-------     |SILK SCARF (rare)
 45|VILEPLUME    |GRASS/POISON     |  75|  80|  85| 100|  90|  50|CHLOROPHYLL |-------     |BLACKGLASSES (common)
 46|PARAS        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|EFFECT SPORE|-------     |MOON STONE (common)
 47|PARASECT     |BUG/GRASS        |  60|  95|  80|  60|  80|  30|EFFECT SPORE|-------     |FOCUS BAND (common)
 48|VENONAT      |BUG/POISON       |  60|  55|  50|  40|  55|  45|COMPOUNDEYES|-------     |HEART SCALE (rare)
 49|VENOMOTH     |BUG/POISON       |  70|  65|  60|  90|  75|  90|SHIELD DUST |-------     |EXP. SHARE (common), TM16 (rare)
 50|DIGLETT      |GROUND           |  10|  55|  25|  35|  45|  95|SAND VEIL   |ARENA TRAP  |ASPEAR BERRY (common)
 51|DUGTRIO      |GROUND           |  35|  80|  50|  50|  70| 120|SAND VEIL   |ARENA TRAP  |
 52|MEOWTH       |NORMAL           |  40|  45|  35|  40|  40|  90|PICKUP      |-------     |
 53|PERSIAN      |NORMAL           |  65|  70|  60|  65|  65| 115|LIMBER      |-------     |NUGGET (rare)
 54|PSYDUCK      |WATER            |  50|  52|  48|  65|  50|  55|DAMP        |CLOUD NINE  |
 55|GOLDUCK      |WATER            |  80|  82|  78|  95|  80|  85|DAMP        |CLOUD NINE  |MAX REVIVE (common), SILVERPOWDER (rare)
 56|MANKEY       |FIGHTING         |  40|  80|  35|  35|  45|  70|VITAL SPIRIT|-------     |PROTEIN (common)
 57|PRIMEAPE     |FIGHTING         |  65| 105|  60|  60|  70|  95|VITAL SPIRIT|-------     |MENTAL HERB (common), QUICK CLAW (rare)
 58|GROWLITHE    |FIRE             |  55|  70|  45|  70|  50|  60|INTIMIDATE  |FLASH FIRE  |BIG MUSHROOM (100%)
 59|ARCANINE     |FIRE             |  90| 110|  80| 100|  80|  95|INTIMIDATE  |FLASH FIRE  |TM14 (100%)
 60|POLIWAG      |WATER            |  40|  50|  40|  40|  40|  90|WATER ABSORB|DAMP        |
